OrderId,OrderStatus,OrderType,IsBusinessOrder,IsReplacementOrder,PurchaseDate,Year,YearMonth,YearQuarter,YearWeek,weekday,LastUpdateDate,LatestShipDate,NumberOfItemsShipped,NumberOfItemsUnshipped,ShipDate,Amount,PostalCode,CountryCode,City,Province,Region
475,Shipped,StandardOrder,0,0,2022-10-12 09:55:33,2022,202210,2022Q4,2022W41,3,2022-10-12 19:11:42,2022-10-12 23:59:59,1,0,2022-10-12 23:59:59,20.99,00179,IT,ROMA,RM,LAZIO
485,Shipped,StandardOrder,0,0,2022-10-12 19:50:40,2022,202210,2022Q4,2022W41,3,2022-10-13 14:27:03,2022-10-13 23:59:59,1,0,2022-10-13 23:59:59,19.99,13040,IT,SALUGGIA,VC,PIEMONTE
002,Shipped,StandardOrder,0,0,2022-08-02 10:48:18,2022,202208,2022Q3,2022W31,2,2022-08-02 13:51:15,2022-08-02 23:59:59,1,0,2022-08-02 23:59:59,20.99,05100,IT,TERNI,TR,UMBRIA
196,Shipped,StandardOrder,0,0,2022-09-18 01:51:38,2022,202209,2022Q3,2022W37,7,2022-09-19 02:28:28,2022-09-19 23:59:59,1,0,2022-09-19 23:59:59,27.99,00188,IT,ROMA,RM,LAZIO
352,Shipped,StandardOrder,0,0,2022-10-05 20:57:07,2022,202210,2022Q4,2022W40,3,2022-10-06 02:22:00,2022-10-06 23:59:59,1,0,2022-10-06 23:59:59,18.99,26845,IT,CODOGNO,LO,LOMBARDIA
404,Shipped,StandardOrder,0,0,2022-10-08 14:18:47,2022,202210,2022Q4,2022W40,6,2022-10-09 03:32:30,2022-10-09 23:59:59,1,0,2022-10-09 23:59:59,18.99,00152,IT,ROMA,RM,LAZIO
473,Shipped,StandardOrder,0,0,2022-10-12 14:32:57,2022,202210,2022Q4,2022W41,3,2022-10-12 17:29:54,2022-10-13 23:59:59,1,0,2022-10-13 23:59:59,19.99,34071,IT,CORMONS,GO,FRIULI-VENEZIA GIULIA
081,Shipped,StandardOrder,0,0,2022-08-20 11:21:08,2022,202208,2022Q3,2022W33,6,2022-08-20 21:27:22,2022-08-21 23:59:59,1,0,2022-08-21 23:59:59,18.99,21013,IT,GALLARATE,VA,LOMBARDIA
146,Shipped,StandardOrder,0,0,2022-09-06 18:58:47,2022,202209,2022Q3,2022W36,2,2022-09-06 23:44:36,2022-09-07 23:59:59,2,0,2022-09-07 23:59:59,30.98,63822,IT,PORTO SAN GIORGIO,FM,MARCHE
361,Shipped,StandardOrder,0,0,2022-10-06 01:25:57,2022,202210,2022Q4,2022W40,4,2022-10-06 22:32:30,2022-10-06 11:30:00,4,0,2022-10-06 11:30:00,75.96,00176,IT,ROMA,RM,LAZIO
459,Shipped,StandardOrder,0,0,2022-10-11 18:56:17,2022,202210,2022Q4,2022W41,2,2022-10-11 23:56:48,2022-10-12 23:59:59,1,0,2022-10-12 23:59:59,19.99,21059,IT,VIGGIÙ,VA,LOMBARDIA
005,Shipped,StandardOrder,1,0,2022-08-01 17:47:00,2022,202208,2022Q3,2022W31,1,2022-08-03 08:04:20,2022-08-01 23:59:59,1,0,2022-08-01 23:59:59,20.98,62012,IT,CIVITANOVA MARCHE,MC,MARCHE
010,Shipped,StandardOrder,0,0,2022-08-03 15:29:15,2022,202208,2022Q3,2022W31,3,2022-08-05 12:28:52,2022-08-04 23:59:59,1,0,2022-08-04 23:59:59,17.99,00157,IT,ROMA,RM,LAZIO
072,Shipped,StandardOrder,0,0,2022-08-18 11:08:40,2022,202208,2022Q3,2022W33,4,2022-08-18 22:31:50,2022-08-19 23:59:59,2,0,2022-08-19 23:59:59,37.98,42124,IT,REGGIO EMILIA,RE,EMILIA-ROMAGNA
140,Shipped,StandardOrder,0,0,2022-09-04 23:15:24,2022,202209,2022Q3,2022W35,7,2022-09-05 02:37:30,2022-09-05 23:59:59,1,0,2022-09-05 23:59:59,20.99,28047,IT,OLEGGIO,NO,PIEMONTE
288,Shipped,StandardOrder,0,0,2022-10-01 20:46:29,2022,202210,2022Q4,2022W39,6,2022-10-02 09:14:20,2022-10-02 23:59:59,1,0,2022-10-02 23:59:59,18.99,22015,IT,GRAVEDONA ED UNITI,CO,LOMBARDIA
